"genre","avg_vote","income"
"Action, Thriller",6.1,162.146
"Action, Adventure, Mystery",5.7,179.247
"Adventure, Drama, Family",7.5,47.309
"Animation, Adventure, Comedy",5.7,408.579
"Animation, Comedy, Family",7.1,634.155
"Action, Adventure, Sci-Fi",7.8,1153.332
"Biography, Drama, Sport",7.1,25.070
"Animation, Adventure, Comedy",7.6,643.347
"Action, Adventure, Thriller",5.7,125.730
"Adventure, Crime, Drama",6.5,85.251
"Biography, Comedy, Drama",6.6,24.972
"Biography, Drama, Family",7.4,16.053
"Comedy, Drama",5.9,55.030
"Crime, Drama, Mystery",6.5,173.186
"Action, Drama, Romance",7.1,119.520
"Adventure, Family, Fantasy",6.4,195.243
"Comedy, Drama, Romance",6.5,1.139
"Crime, Drama, Thriller",7.1,12.749
"Action, Adventure, Fantasy",5.8,81.093
"Biography, Drama, Romance",7.6,9.734
"Biography, Drama",8,140.313
"Action, Adventure, Sci-Fi",7.8,1056.058
"Comedy, Romance",6,90.633
"Biography, Crime, Drama",7.3,37.357
"Comedy, Drama, Music",8,446.486
"Drama, Romance",6.7,13.025
"Action, Comedy, Crime",7.4,62.788
"Horror, Mystery, Thriller",6,74.136
"Action, Adventure, Comedy",6,245.624
"Comedy, Music",6.7,9.680
"Drama, Romance, Thriller",8.1,37.767
"Drama",7.8,78.988
"Comedy, Drama, Fantasy",7,4.936
"Comedy, Drama",7.4,11.784
"Drama, Horror, Thriller",6.3,119.101
"Action, Horror, Sci-Fi",6,118.588
"Drama",7,5.639
"Biography, Comedy, Drama",6.8,49.053
"Action, Comedy, Crime",6.2,20.651
"Action, Comedy, Crime",6.4,3.719
"Crime, Horror, Thriller",7.1,157.830
"Action, Drama, War",7.3,69.411
"Comedy, Horror",4.8,9.097
"Biography, Drama, History",6.4,16.779
"Action, Thriller",6.6,415.485
"Biography, Drama, Family",7.1,73.983
"Biography, Drama",7.2,24.121
"Drama, Romance",6.8,5.401
"Animation, Action, Adventure",7.8,76.249
"Drama, Mystery, Romance",7.1,22.468
"Biography, Drama, Sport",7.4,10.367
"Drama, Horror, Mystery",6.1,81.706
"Drama, History",7.3,7.400
