imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0098663,Il piccolo grande mago dei videogames,The Wizard,1989,12/15/1989,"Adventure, Comedy, Drama",96,USA,"English, Brazilian Sign Language",Todd Holland,David Chisholm,Carolco Pictures,"Luke Edwards, Vince Trankina, Wendy Phillips, Dea McAllister, Sam McMurray, Beau Bridges, Fred Savage, Christian Slater, Will Seltzer, Roy Conrad, Jenny Lewis, Roderick Dexter, Ray Bickel, Chuck Skinner, W.K. Cowan",A boy and his brother run away from home and hitch cross country with the help of a girl they meet to compete in the ultimate video game championship.,6.1,13772,"$6,000,000 ","$14,278,900 ",14278900.00,23,112,40
tt7153766,Unsane,Unsane,2018,7/5/2018,"Drama, Horror, Mystery",98,USA,English,Steven Soderbergh,"Jonathan Bernstein, James Greer",Fingerprint Releasing,"Joshua Leonard, Claire Foy, Sarah Stiles, Marc Kudisch, Amy Irving, Colin Woodell, Myra Lucretia Taylor, Lynda Mauze, Zach Cherry, Polly McKie, Jay Pharoah, Raรบl Castillo, Juno Temple, Michael Mihm, Robert Kelly","A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?",6.4,38858,"$1,500,000 ","$7,732,899 ",14293601.00,63,331,263
tt0088206,Supergirl - La ragazza d'acciaio,Supergirl,1984,7/19/1984,"Action, Adventure, Fantasy",124,UK,English,Jeannot Szwarc,David Odell,Artistry Limited,"Faye Dunaway, Helen Slater, Peter O'Toole, Mia Farrow, Brenda Vaccaro, Peter Cook, Simon Ward, Marc McClure, Hart Bochner, Maureen Teefy, David Healy, Sandra Dickinson, Robyn Mandell, Jenifer Landor, Diana Ricardo","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",4.4,18268,"$35,000,000 ","$14,296,438 ",14296438.00,42,176,94
tt0091557,Mosquito Coast,The Mosquito Coast,1986,4/14/1987,"Adventure, Drama, Thriller",117,USA,"English, Spanish",Peter Weir,"Paul Theroux, Paul Schrader",The Saul Zaentz Company,"Harrison Ford, Helen Mirren, River Phoenix, Jadrien Steele, Hilary Gordon, Rebecca Gordon, Jason Alexander, Dick O'Neill, Alice Heffernan-Sneed, Tiger Haynes, William Newman, Andre Gregory, Melanie Boland, Martha Plimpton, Raymond Clare",An inventor spurns his city life and moves his family into the jungles of Central America to make a utopia.,6.6,26023,"$25,000,000 ","$14,302,779 ",14302779.00,49,106,37
tt1532503,Beginners,Beginners,2010,12/9/2011,"Comedy, Drama, Romance",105,USA,"English, French",Mike Mills,Mike Mills,Olympus Pictures,"Ewan McGregor, Christopher Plummer, Mรฉlanie Laurent, Goran Visnjic, Kai Lennox, Mary Page Keller, Keegan Boos, China Shavers, Melissa Tang, Amanda Payton, Luke Diliberto, Lou Taylor Pucci, Bambadjan Bamba, Hana Hwang, Samuel T. Ritter",A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.,7.2,86766,"$3,200,000 ","$5,790,894 ",14311701.00,81,161,173
tt0340012,La diva Julia,Being Julia,2004,6/10/2005,"Comedy, Drama, Romance",104,"Canada, USA, Hungary, UK",English,Istvรกn Szabรณ,"W. Somerset Maugham, Ronald Harwood",Serendipity Point Films,"Michael Gambon, Annette Bening, Leigh Lawson, Shaun Evans, Mari Kiss, Jeremy Irons, Ronald Markham, Terry Sach, Catherine Charlton, Juliet Stevenson, Miriam Margolyes, Max Irons, Andrew Paton Story Busher, George Lang, Michael Culkin","Set in 1930s London, this movie involves stage actors and actresses and their experiences with love and revenge.",7,11891,"$18,000,000 ","$7,739,049 ",14339171.00,65,118,93
tt0240515,Freddy Got Fingered,Freddy Got Fingered,2001,4/20/2001,Comedy,87,USA,English,Tom Green,"Tom Green, Derek Harvie",Regency Enterprises,"Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas, Harland Williams, Anthony Michael Hall, Julie Hagerty, Jackson Davies, Connor Widdows, John R. Taylor, Bob Osborne, Fiona Hogan, George Gordon, Ron Selmour, Drew Barrymore","An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",4.6,45503,"$14,000,000 ","$14,254,993 ",14343028.00,13,681,87
tt0097388,Venerdรฌ 13: parte VIII - Incubo a Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,1989,7/28/1989,"Adventure, Horror, Thriller",100,"Canada, USA",English,Rob Hedden,"Rob Hedden, Victor Miller",Paramount Pictures,"Todd Caldecott, Tiffany Paulsen, Tim Mirkovich, Kane Hodder, Jensen Daggett, Barbara Bingham, Alex Diakun, Peter Mark Richman, Ace, Warren Munson, Fred Henderson, Scott Reeves, Gordon Currie, Saffron Henderson, Martin Cummins",A boatful of graduating high school students headed to Manhattan accidentally pull Jason Voorhees along for the ride.,4.6,32552,"$5,000,000 ","$14,343,976 ",14343976.00,14,336,165
tt7014006,Eighth Grade - Terza media,Eighth Grade,2018,8/3/2018,"Comedy, Drama",93,USA,English,Bo Burnham,Bo Burnham,A24,"Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Daniel Zolghadri, Fred Hechinger, Imani Lewis, Luke Prael, Catherine Oliviere, Nora Mullins, Gerald W. Jones, Missy Yager, Shacha Temirov, Greg Crowe, Thomas John O'Reilly",An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,7.4,58961,"$2,000,000 ","$13,539,709 ",14347433.00,89,422,229
tt0104850,Avventure di un uomo invisibile,Memoirs of an Invisible Man,1992,12/3/1992,"Comedy, Romance, Sci-Fi",99,"USA, France",English,John Carpenter,"H.F. Saint, Robert Collector",Warner Bros.,"Chevy Chase, Daryl Hannah, Sam Neill, Michael McKean, Stephen Tobolowsky, Jim Norton, Pat Skipper, Paul Perri, Richard Epcar, Steven Barr, Gregory Paul Martin, Patricia Heaton, Barry Kivel, Donald Li, Rosalind Chao","After a freak accident, a yuppie turns invisible and runs from a treacherous CIA official, while trying to cope with his new life.",6,22145,"$40,000,000 ","$14,358,033 ",14358033.00,48,83,76
