"genre","avgVote","income"
"Action, Comedy, Fantasy",5.2,229147509
"Comedy, Drama, Romance",6.1,112343513
"Biography, Crime, Drama",7,21011110
"Drama, Romance, Sci-Fi",7,303144152
"Adventure, Crime, Drama",5.6,6312033
"Action, Comedy, Fantasy",5.8,16457494
"Action, Adventure, Fantasy",6,746846894
"Crime, Drama, Horror",5.1,30658387
"Action, Adventure, Comedy",8,782612155
"Action, Adventure, Fantasy",4.6,6272403
"Comedy, Drama, Romance",6.5,211952420
"Action, Comedy, Crime",6.3,216972543
"Horror, Mystery, Thriller",5,45173154
"Action, Adventure, Comedy",4.7,56722693
"Biography, Drama, History",6.7,24270399
"Biography, Drama, Sport",6.8,6698679
"Action, Adventure, Sci-Fi",5.2,389681935
"Comedy, Drama, Romance",6.8,12597262
"Animation, Adventure, Comedy",6.5,346864462
"Animation, Adventure, Comedy",6.1,140705322
"Comedy",5.8,114501299
"Action, Crime, Thriller",6.3,23177948
"Biography, Drama, Sport",6.6,4978353
"Comedy, Crime, Drama",5.6,24079268
"Crime, Drama",6.7,14880939
"Comedy",5.9,94073028
"Action, Drama, History",7.1,121790373
"Horror, Thriller",4.4,10898293
"Comedy, Drama",7.3,19370020
"Adventure, Drama, Family",6.7,296482446
"Comedy, Drama, Romance",5.7,1659002
"Horror, Thriller",6.2,3377430
"Comedy, Drama, Romance",5.7,3885342
"Animation, Action, Adventure",6.3,352333929
"Biography, Comedy, Crime",7.1,86234523
"Action, Drama, History",6.8,52099090
"Action, Adventure, Fantasy",5.9,334933831
"Action, Adventure, Sci-Fi",5.7,240697856
"Biography, Drama, History",8.1,180450918
"Action, Crime, Thriller",5.7,6817535
"Action, Crime, Drama",7.3,155160045
"Crime, Drama, Thriller",6.5,93282604
"Animation, Adventure, Comedy",6.8,106127278
"Animation, Action, Adventure",7.1,521170825
"Animation, Adventure, Comedy",7.3,1028570889
"Action, Adventure, Sci-Fi",5.2,109906372
"Animation, Comedy, Drama",7.8,5873256
"Action, Crime, Drama",6.4,22678555
"Drama, Horror, Thriller",3.9,5745040
"Action, Crime, Drama",6.3,14857808
"Action, Adventure, Drama",6.1,164989338
"Action, Comedy",5.9,29918745
"Biography, Drama",6.4,4159246
"Action, Adventure, Fantasy",5.4,150680864
"Action, Adventure, Western",6.9,162360636
"Biography, Comedy, Crime",5.8,29674699
"Action, Drama, Sport",6.2,30930984
"Drama, Mystery, Sci-Fi",7.9,203388186
"Drama, Romance",7.2,25975621
"Adventure, Family, Fantasy",6.2,299457024
"Drama, Horror, Mystery",4.8,13082071
"Action, Crime, Drama",7.6,37879877
"Action, Horror, Sci-Fi",5.5,312242626
"Action, Adventure, Drama",5.7,94061311
"Drama, Mystery, Sci-Fi",6.6,6740647
"Action, Adventure, Sci-Fi",7.1,343471816
"Drama",7.2,64414761
"Drama, Romance",7.4,208314186
"Comedy",5.4,78844582
"Animation, Adventure, Comedy",6.5,875457937
"Action, Adventure, Comedy",6.7,143695338
"Animation, Adventure, Comedy",5.9,23157646
"Comedy, Romance",6,77068246
"Animation, Action, Adventure",5.6,13385737
"Action, Comedy, Crime",5.9,124608438
"Comedy",6.9,4644472
"Animation, Adventure, Comedy",8,1023789075
"Biography, Family, Sport",7.3,2000620
"Action, Adventure, Sci-Fi",6.4,873637528
"Comedy, Drama, Romance",6.1,9169507
"Action, Sci-Fi, Thriller",6.3,38803993
"Adventure, Drama, Family",7.4,966552003
"Action, Adventure, Crime",6.2,220021259
"Horror, Mystery, Thriller",7.3,320392818
"Comedy, Drama, Romance",6.4,21401949
"Action, Adventure, Comedy",5.6,64493915
"Action, Adventure, Comedy",6.5,334897606
"Adventure, Family, Fantasy",7.3,814038508
"Horror, Thriller",5.3,9037058
"Action, Drama, History",6.3,46432579
"Biography, Drama",7.4,240797623
"Action, Thriller",5.9,205754447
"Horror, Mystery, Thriller",5.3,10975390
"Action, Comedy, Crime",4.8,7353544
"Action, Adventure, Comedy",6.2,27979040
"Action, Adventure, Sci-Fi",6.9,543934105
"Biography, Drama, History",6.8,14459330
"Horror, Mystery, Thriller",4.8,39712000
"Action, Thriller",6.1,162146076
"Action, Adventure, Mystery",5.7,179246868
"Adventure, Drama, Family",7.5,47309313
"Animation, Adventure, Comedy",5.7,408579038
"Animation, Comedy, Family",7.1,634154922
"Action, Adventure, Sci-Fi",7.8,1153332120
"Biography, Drama, Sport",7.1,25070261
"Animation, Adventure, Comedy",7.6,643347400
"Action, Adventure, Thriller",5.7,125729635
"Adventure, Crime, Drama",6.5,85251425
"Biography, Comedy, Drama",6.6,24972139
"Biography, Drama, Family",7.4,16053043
"Comedy, Drama",5.9,55030051
"Crime, Drama, Mystery",6.5,173185859
"Action, Drama, Romance",7.1,119520023
"Adventure, Family, Fantasy",6.4,195243411
"Comedy, Drama, Romance",6.5,1138609
"Crime, Drama, Thriller",7.1,12748594
"Action, Adventure, Fantasy",5.8,81093313
"Biography, Drama, Romance",7.6,9733932
"Biography, Drama",8,140312928
"Action, Adventure, Sci-Fi",7.8,1056057720
"Comedy, Romance",6,90632641
"Biography, Crime, Drama",7.3,37357216
"Comedy, Drama, Music",8,446486384
"Drama, Romance",6.7,13025034
"Action, Comedy, Crime",7.4,62788218
"Horror, Mystery, Thriller",6,74136180
"Action, Adventure, Comedy",6,245623848
"Comedy, Music",6.7,9680029
"Drama, Romance, Thriller",8.1,37767206
"Drama",7.8,78988148
"Comedy, Drama, Fantasy",7,4935501
"Comedy, Drama",7.4,11784207
"Drama, Horror, Thriller",6.3,119100758
"Action, Horror, Sci-Fi",6,118587880
"Drama",7,5638693
"Biography, Comedy, Drama",6.8,49052787
"Action, Comedy, Crime",6.2,20651333
"Action, Comedy, Crime",6.4,3719383
"Crime, Horror, Thriller",7.1,157830487
